index	name	root_step	chord_steps	frequencies_hz
0	bp00	0	0;6;10	110.000000;182.642774;256.099679
1	bp01	1	1;7;11	119.700047;198.748624;278.683124
2	bp02	2	2;8;12	130.255465;216.274723;303.258027
3	bp03	3	3;9;0	141.741685;235.346314;110.000000
4	bp04	4	4;10;1	154.240784;256.099679;119.700047
5	bp05	5	5;11;2	167.842083;278.683124;130.255465
6	bp06	6	6;12;3	182.642774;303.258027;141.741685
7	bp07	7	7;0;4	198.748624;110.000000;154.240784
8	bp08	8	8;1;5	216.274723;119.700047;167.842083
9	bp09	9	9;2;6	235.346314;130.255465;182.642774
10	bp10	10	10;3;7	256.099679;141.741685;198.748624
11	bp11	11	11;4;8	278.683124;154.240784;216.274723
12	bp12	12	12;5;9	303.258027;167.842083;235.346314
